loan_id,payment_amount,payment_date,missed
11223,1414,2013-09-15,1
11223,1139,2013-10-23,0
11223,1566,2013-11-13,0
11223,1750,2013-12-13,0
11223,1634,2013-12-25,1
10376,788,2010-01-07,1
10376,914,2010-02-04,1
10376,1200,2010-02-17,1
10376,1232,2010-03-16,0
10376,734,2010-05-04,0
10325,422,2011-10-30,1
10325,329,2011-12-18,1
10325,536,2012-01-23,0
10325,435,2012-02-15,1
10325,517,2012-03-22,0
10407,1547,2014-02-03,1
10407,1563,2014-02-18,1
10407,2389,2014-03-06,0
10407,2615,2014-04-04,0
10407,2399,2014-05-04,0
10407,1726,2014-05-17,0
10407,2035,2014-05-27,1
10407,1638,2014-06-23,1
10032,876,2007-09-17,1
10032,1223,2007-10-21,1
10032,1382,2007-11-11,0
10032,974,2007-11-26,1
10032,1201,2007-12-14,0
10032,968,2008-02-01,1
10032,1201,2008-03-18,1
11123,905,2002-08-30,1
11123,1193,2002-10-02,1
11123,1098,2002-10-17,1
11123,871,2002-11-15,1
11123,1006,2002-12-17,1
11123,1227,2002-12-31,0
11123,786,2003-01-15,0
11123,764,2003-03-03,1
11123,973,2003-04-21,0
10715,1450,2003-01-04,1
10715,1660,2003-02-02,1
10715,1870,2003-02-23,0
10715,1679,2003-03-21,1
10715,1665,2003-04-12,0
10715,2527,2003-05-09,1
10715,2056,2003-06-21,0
10715,2018,2003-07-12,1
11327,1607,2013-03-03,1
11327,1211,2013-03-17,0
11327,1494,2013-04-14,1
11327,933,2013-05-13,0
11327,1100,2013-06-18,0
11327,891,2013-07-20,0
10385,1498,2012-12-27,1
10385,1790,2013-01-18,1
10385,1181,2013-02-20,1
10385,1114,2013-03-03,1
10385,1327,2013-04-16,0
10385,1635,2013-05-17,1
10385,1050,2013-06-15,1
10385,1087,2013-07-03,1
11013,1559,2005-09-16,0
11013,1297,2005-10-29,1
11013,1603,2005-11-29,0
11013,1552,2005-12-15,1
11013,1463,2006-01-29,0
11013,869,2006-02-17,0
10372,198,2000-11-14,0
10372,230,2000-12-17,0
10372,211,2001-01-12,1
10372,158,2001-02-05,1
10372,260,2001-03-15,1
10754,1164,2001-06-12,0
10754,1466,2001-07-19,0
10754,1230,2001-08-06,0
10754,1387,2001-08-24,0
10754,910,2001-09-07,0
10754,1097,2001-10-22,0
10754,1328,2001-12-10,0
10754,1271,2001-12-30,1
10418,971,2010-01-16,1
10418,989,2010-02-13,1
10418,852,2010-03-20,0
10418,842,2010-04-23,1
10418,926,2010-05-07,0
10418,1076,2010-05-27,1
10418,734,2010-07-08,1
10418,1291,2010-08-11,0
10418,1067,2010-08-23,1
11543,224,2012-08-23,1
11543,171,2012-09-30,1
11543,148,2012-10-12,1
11543,231,2012-11-16,1
11543,254,2012-12-22,0
11543,256,2013-01-05,0
11543,157,2013-01-17,1
11543,155,2013-02-28,1
11543,226,2013-03-14,0
11065,559,2012-07-05,0
11065,311,2012-08-06,0
11065,333,2012-09-04,1
11065,349,2012-10-14,1
11065,544,2012-11-25,1
11065,392,2012-12-26,0
11065,558,2013-01-18,1
11065,490,2013-02-16,0
11065,332,2013-04-03,1
10494,413,2003-04-26,0
10494,321,2003-05-31,1
10494,274,2003-07-17,1
10494,520,2003-08-27,1
10494,335,2003-09-06,1
10494,382,2003-10-07,1
10494,367,2003-10-21,0
10802,538,2013-04-05,1
10802,461,2013-04-23,1
10802,529,2013-06-04,0
10802,477,2013-06-15,1
10802,298,2013-07-18,1
10802,491,2013-08-24,1
10802,422,2013-09-18,0
10802,507,2013-10-27,0
10647,1251,2001-08-28,1
10647,1396,2001-10-12,0
10647,1448,2001-10-22,0
10647,1662,2001-11-11,1
10647,1646,2001-12-06,0
10647,1405,2002-01-02,0
10647,1735,2002-01-19,0
10647,1116,2002-02-23,1
10647,1736,2002-03-26,1
11301,2828,2001-07-31,1
11301,1955,2001-08-21,1
11301,2530,2001-09-22,0
11301,1804,2001-11-04,1
11301,1744,2001-12-20,1
10035,160,2014-09-02,0
10035,129,2014-09-24,0
10035,224,2014-10-16,0
10035,247,2014-10-30,1
10035,137,2014-11-28,0
11530,1588,2005-12-02,0
11530,2019,2005-12-22,1
11530,1780,2006-02-06,1
11530,2611,2006-02-21,0
11530,1642,2006-03-04,1
11530,2580,2006-04-09,1
11530,1600,2006-04-30,1
11530,2628,2006-05-12,0
11530,2354,2006-06-14,1
10255,1432,2003-01-01,1
10255,1605,2003-01-13,1
10255,1532,2003-02-23,0
10255,1226,2003-04-03,0
10255,1821,2003-05-07,0
10255,2110,2003-06-12,0
10255,1817,2003-07-27,0
10255,2021,2003-08-22,0
11208,1198,2009-11-09,1
11208,1101,2009-11-29,1
11208,1125,2009-12-22,0
11208,1103,2010-01-23,0
11208,737,2010-02-03,1
11086,98,2001-09-23,1
11086,136,2001-10-27,0
11086,84,2001-12-07,0
11086,116,2002-01-19,1
11086,149,2002-03-04,0
11086,130,2002-03-15,0
11086,112,2002-05-01,1
11086,89,2002-05-12,1
11086,152,2002-05-26,1
10458,955,2002-02-23,1
10458,1128,2002-03-20,0
10458,1409,2002-04-17,1
10458,1369,2002-05-31,0
10458,1027,2002-07-18,1
10458,1106,2002-08-15,1
10007,427,2005-01-23,0
10007,537,2005-02-19,0
10007,598,2005-03-29,0
10007,720,2005-04-22,1
10007,648,2005-05-21,0
10007,529,2005-06-23,1
11561,1676,2004-05-03,0
11561,1558,2004-06-01,1
11561,1572,2004-07-05,0
11561,1342,2004-08-08,1
11561,2103,2004-09-25,1
11746,1301,2010-12-14,0
11746,1115,2011-01-10,1
11746,1078,2011-02-18,0
11746,1181,2011-04-04,1
11746,1146,2011-05-03,1
11746,741,2011-06-03,1
11746,884,2011-06-19,1
11746,1375,2011-07-27,0
11076,1046,2002-04-23,0
11076,1127,2002-06-02,1
11076,1801,2002-07-02,0
11076,1711,2002-07-26,1
11076,1229,2002-08-28,1
11076,1854,2002-09-18,1
11076,1633,2002-10-13,1
10363,756,2013-05-31,1
10363,951,2013-06-10,0
10363,966,2013-07-09,1
10363,1028,2013-08-12,0
10363,1219,2013-09-03,0
10363,1164,2013-09-28,0
11140,313,2004-01-11,0
11140,462,2004-01-22,0
11140,384,2004-02-20,0
11140,330,2004-03-11,1
11140,427,2004-04-19,1
11066,1580,2007-09-18,1
11066,1501,2007-10-08,0
11066,1724,2007-10-23,1
11066,1968,2007-11-25,1
11066,1292,2007-12-30,0
11066,1666,2008-01-10,0
11066,2180,2008-02-28,1
11066,1174,2008-04-01,1
10633,303,2012-12-11,0
10633,295,2013-01-11,1
